ID,NAME,PROF,TIME1,TIME2,CREDITS,YEAR
AE473-00,건축공학응용설계,백장운,월 16:30-19:15 (공176-3호),,3,4
AE473-01,건축공학응용설계,이준복,월 16:30-19:15 (공365호),,3,4
AE473-02,건축공학응용설계,이영학,월 16:30-19:15 (공B103호),,3,4
AE473-03,건축공학응용설계,윤근영,월 16:30-19:15 (공149호),,3,4
AE351-00,건축구조해석,이영학,월 13:30-14:45 (공B103호),수 13:30-14:45 (공B103호),3,3
AE351-01,건축구조해석,이영학,월 15:00-16:15 (공B103호),수 15:00-16:15 (공B103호),3,3
AE371-00,건축설비I,김곤,화 10:30-11:45 (공149호),목 10:30-11:45 (공149호),3,3
AE371-01,건축설비I,박보랑,금 12:00-14:45 (공B103호),,3,3
AE331-00,건축시공및재료I,하광수,금 16:30-19:15 (공B104호),,3,3
AE211-00,기초건축공학설계,김수영,화 16:30-19:15 (글로벌관508호(기초공학설계실)),,3,2
AE211-03,기초건축공학설계,김수영,목 16:30-19:15 (글로벌관508호(기초공학설계실)),,3,2
AE401-00,졸업논문(건축공학전공),김대진,토 09:00-10:00 (공B103호),,0,4
AE451-01,강구조설계,김대진,화 15:00-16:15 (공150호),목 15:00-16:15 (공150호),3,4
AE432-01,건설계획및경제,원서경,금 10:30-13:15 (공149호),,3,4
AE201-00,건축BIM,백장운,화 15:00-16:15 (공176-3호),목 15:00-16:15 (공176-3호),3,2
AE431-00,건축공법,임지영,목 16:30-19:15 (공B103호),,3,4
AE103-00,건축공학개론,김곤,화 12:00-13:15 (공150호),목 12:00-13:15 (공150호),3,1
AE101-00,건축공학프로그래밍,백장운,월 10:30-11:45 (공127호),수 10:30-11:45 (공127호),3,1
AE101-01,건축공학프로그래밍,연문숙,월 16:30-19:15 (공176-4호),,3,1
AE251-00,재료역학1,김대진,수 13:30-15:20 (공142-1호),금 13:30-15:20 (실B104호),3,2
AE251-01,재료역학1,김민숙,수 15:30-17:20 (공149호),금 15:30-17:20 (실B104호),3,2
AE251-02,재료역학1,박성용,금 09:00-10:50 (공B103호),금 11:00-12:50 (실B104호),3,2
AE352-00,철근콘크리트설계II,홍원기,화 13:30-14:45 (공B103호),목 13:30-14:45 (공B103호),3,3
AE271-00,건축환경계획I,김곤,월 12:00-13:15 (공B103호),수 12:00-13:15 (공B103호),3,2
AE271-01,건축환경계획I,정인영,월 10:30-11:45 (공B103호),수 10:30-11:45 (공B103호),3,2
AE202-00,공학수학1,김대진,화 13:30-14:45 (공142-1호),목 13:30-14:45 (공142-1호),3,2
AE231-00,사업관리기초,이준복,화 10:30-11:45 (공B103호),목 10:30-11:45 (공B103호),3,2
AE112-00,정역학,홍원기,월 13:30-14:45 (공149호),수 13:30-14:45 (공149호),3,1
AR271-00,건축구조의이해,정행철,수 16:30-19:15 (공142-1),,3,2
AR491-00,건축법규,김주석,수 16:30-19:15 (공365호),,3,4
AR211-01,건축설계1,정재헌,화 10:30-14:45 (품평실A),금 10:30-14:45 (품평실A),6,2
AR211-02,건축설계1,이관석,화 10:30-14:45 (품평실B),금 10:30-14:45 (품평실B),6,2
AR211-03,건축설계1,문희,화 10:30-14:45 (품평실C),금 10:30-14:45 (품평실C),6,2
AR211-04,건축설계1,임승모,화 10:30-14:45 (품평실D),금 10:30-14:45 (품평실D),6,2
AR211-05,건축설계1,이동훈,화 10:30-14:45 (품평실E),금 10:30-14:45 (품평실E),6,2
